uid,E-CPV Error,E-CPV Uncertainty,E-MHA Error,E-MHA Uncertainty,S-MHA Error,S-MHA Uncertainty,Validation Fold,Testing Fold,E-CPV Uncertainty bins,E-MHA Uncertainty bins,S-MHA Uncertainty bins
PHD_2745,4.472136,2.315298247337341,6.4031243,0.6842546559870243,4.472136,0.6760731617656025,2,1,1,0,3
PHD_275,6.3245554,3.229451560974121,7.071068,0.3746562242507935,7.071068,0.4963708182955891,2,1,3,3,4
PHD_2757,6.0,2.7429553270339966,5.0990195,0.4041344426572323,4.472136,0.6505204462716976,2,1,3,3,3
PHD_285,5.3851647,1.9429553270339963,5.8309517,0.5654356271028519,7.0,0.967452020611057,2,1,0,1,1
PHD_292,10.816654,0.6828427076339721,10.29563,0.7862281203269958,11.401754,0.916414931459798,2,1,0,0,1
PHD_295,8.246211,2.8893945932388307,10.198039,0.753441110253334,10.049875,1.1106599122711154,2,1,3,0,0
PHD_304,12.0415945,5.08690299987793,10.0,0.0849383486667647,12.806249,0.0613877764889941,2,1,4,4,4
PHD_315,11.18034,2.09442720413208,11.18034,0.5258612871170044,11.18034,0.767464140477881,2,1,1,2,2
PHD_330,8.062258,8.5832444190979,5.0,0.3239105137065053,9.0,0.8064317654856366,2,1,4,3,2
PHD_342,3.1622777,2.344269824028016,4.0,0.8167563945055007,3.6055512,0.9420642712096812,2,1,1,0,1
PHD_346,50.803543,41.92516288757325,90.24966,0.0842871308326721,44.911022,0.238762626796835,2,1,4,4,4
PHD_35,1.4142135,1.9152982473373408,1.0,0.9122287333011628,2.0,1.2279846555580711,2,1,0,0,0
PHD_367,16.27882,2.375410842895508,18.110771,0.6655677735805512,16.27882,1.0762509349343137,2,1,2,0,0
PHD_37,14.422205,3.0552175998687745,13.892444,0.3747365912422538,10.630146,0.76578631595123,2,1,3,3,2
PHD_387,4.472136,1.6128990173339843,4.1231055,0.596910896897316,3.6055512,0.771669750681516,2,1,0,1,2
PHD_390,7.81025,2.945731353759766,6.4031243,0.4415472529828548,7.81025,0.8571051467748286,2,1,3,3,2
PHD_393,6.3245554,6.159306001663208,5.0,0.1124414915102534,10.049875,0.1455831664609216,2,1,4,4,4
PHD_395,9.055386,1.6128990173339843,10.049875,0.742933839559555,9.0,1.0323935855921589,2,1,0,0,1
PHD_397,7.28011,2.1625118494033813,7.615773,0.9524803757667542,8.5440035,1.4066085610067682,2,1,1,0,0
PHD_403,10.29563,2.637382531166077,10.440307,0.6959323287010193,7.615773,1.0195683605848076,2,1,2,0,1
PHD_408,9.219544,3.1197561264038085,8.246211,0.5551405042409897,8.246211,1.7663523976128166,2,1,3,2,0
PHD_409,5.3851647,7.31787109375,2.236068,0.1615978527814149,13.453624,0.2006933081297129,2,1,4,4,4
PHD_41,4.472136,3.773551845550537,3.6055512,0.3003508567810058,3.6055512,0.5072636018276094,2,1,3,3,4
PHD_410,9.055386,3.623756861686706,4.0,0.3958698278293013,10.198039,0.4459433105074682,2,1,3,3,4
PHD_413,6.0827627,16.36227951049805,18.439089,0.21895320804324,7.2111025,0.2106318649215427,2,1,4,4,4
PHD_415,4.2426405,3.707737398147583,6.4031243,0.2887922778725624,5.0990195,0.1820649526608604,2,1,3,3,4
PHD_417,12.083046,2.856939053535461,12.083046,0.5399586856365204,15.297058,0.6665432541430042,2,1,3,2,3
PHD_419,5.0990195,2.490748620033264,4.1231055,0.6589336737990379,3.1622777,1.2519407782676466,2,1,2,0,0
PHD_427,7.0,2.212899017333984,6.0,0.5629847168922424,7.0,1.034020128617008,2,1,1,1,1
PHD_43,2.236068,3.3469082593917845,1.0,0.4327542319893837,5.0990195,0.4742922742856168,2,1,3,3,4
PHD_442,8.602325,3.458253574371338,11.401754,0.2967053044587374,7.071068,0.7889401386140091,2,1,3,3,2
PHD_443,12.0415945,5.583267879486084,14.422205,0.1414235554635524,12.206555,0.1148208187164724,2,1,4,4,4
PHD_444,51.62364,43.06683807373047,87.86353,0.3853319106157869,4.2426405,0.5790219786414597,2,1,4,3,4
PHD_462,2.236068,2.315298247337341,2.0,0.581356281414628,2.236068,0.9620651886782916,2,1,1,1,1
PHD_463,4.1231055,1.6957417249679565,5.0,0.6225137650966645,4.0,1.2523913436819014,2,1,0,1,0
PHD_464,4.2426405,2.0453545570373537,6.708204,0.4607979878783226,6.4031243,1.0332985317336305,2,1,1,3,1
PHD_465,10.630146,2.89442720413208,9.899495,0.4746552526950836,11.661903,0.6614357766952766,2,1,3,3,3
PHD_467,2.236068,1.963826370239257,2.236068,0.7640343368053436,3.0,1.43752442748946,3,2,1,0,0
PHD_469,26.305893,5.654517745971679,28.635643,0.0350087719969451,21.023796,0.0837439014459406,3,2,3,4,4
PHD_47,24.04163,20.20037975311279,8.485281,0.1837655961513519,6.4031243,0.4590437804159811,3,2,3,4,4
PHD_480,2.236068,3.195923113822937,2.236068,0.4812251359224319,1.0,1.012644410449358,3,2,2,2,0
PHD_482,5.3851647,5.265713763237,3.6055512,0.1548606700263917,1.4142135,0.2981215306614606,3,2,3,4,4
PHD_49,16.40122,4.890181732177735,20.59126,0.2138891048729419,20.59126,0.6762904209786358,3,2,3,4,3
PHD_499,7.81025,3.810681176185608,7.615773,0.3285840302705765,13.928389,1.0773172303705574,3,2,2,3,0
PHD_50,1.0,2.190168929100037,2.828427,0.5776044934988022,2.0,0.8643303289206452,3,2,1,2,1
PHD_524,16.124516,27.914760780334472,5.0,0.3784926878288388,86.37129,0.7409133595423673,3,2,4,2,2
PHD_526,11.7046995,3.1420520305633546,11.7046995,0.2210321951657533,11.401754,0.4885615968879074,3,2,2,4,3
PHD_527,5.0,1.6128990173339843,5.0,0.7946228384971619,6.4031243,1.2578103587821936,3,2,0,0,0
PHD_529,9.219544,4.084440994262695,7.071068,0.2670878864824771,5.656854,0.3854982568245815,3,2,3,3,4
PHD_530,6.0827627,3.036408495903016,8.944272,0.4972541000694036,3.6055512,0.8573476396154459,3,2,2,2,1
PHD_531,4.0,1.8,4.472136,0.430710482597351,6.4031243,0.7042579283597815,3,2,0,2,2
PHD_534,6.0,1.7772699117660522,6.0,0.7027652978897094,6.3245554,0.953909579084729,3,2,0,1,1
PHD_535,5.0990195,3.9696383714675902,4.1231055,0.3746356410556473,4.0,1.0768600009589926,3,2,3,2,0
PHD_539,11.18034,6.034134387969971,10.440307,0.218384775519371,9.219544,0.4078281865706145,3,2,3,4,4
PHD_540,7.81025,3.050263237953186,9.219544,0.4313926272094249,2.0,0.4752562509026355,3,2,2,2,3
PHD_546,6.708204,4.166261863708496,5.8309517,0.6297916561365128,10.198039,0.5743735047593064,3,2,3,1,3
PHD_55,13.038404,6.372715663909912,17.804493,0.2945504253730178,20.248457,0.5125921373131401,3,2,3,3,3
PHD_551,15.811388,6.50392529964447,11.7046995,0.0417058968974743,15.231546,0.1158358463999569,3,2,3,4,4
PHD_552,13.601471,2.735828709602356,13.601471,0.4480691120028496,19.416489,0.9804090184716504,3,2,2,2,0
PHD_554,3.1622777,3.633207845687866,6.4031243,0.1471597293857485,7.2111025,0.542307797430765,3,2,2,4,3
PHD_555,2.828427,6.502882289886474,5.0990195,0.2751620156690478,15.811388,0.0910447345637466,3,2,3,3,4
PHD_559,5.0990195,1.7625118494033811,4.1231055,0.6362445712089538,6.0827627,0.8115857432974125,3,2,0,1,2
PHD_59,18.110771,18.954318237304687,10.29563,0.0726168032248097,10.29563,0.361917475497003,3,2,3,4,4
PHD_60,7.615773,4.5306356191635135,5.0990195,0.1331921388304181,8.944272,0.123663792802647,3,2,3,4,4
PHD_643,74.73286,32.4892692565918,94.36631,0.3746470406651497,6.3245554,0.7814755360243816,3,2,4,2,2
PHD_658,8.062258,4.958042907714844,5.8309517,0.5407933935523033,4.472136,1.0957055941841938,3,2,3,2,0
PHD_687,8.602325,1.6453545570373536,7.81025,0.637325057387352,8.485281,0.7588990049202332,3,2,0,1,2
PHD_7,4.472136,3.0341906547546387,4.472136,0.4993130177259445,1.4142135,0.8653055049748104,3,2,2,2,1
PHD_709,4.0,1.6485281229019164,6.3245554,0.711611644923687,2.0,0.9171689255235328,3,2,0,1,1
PHD_715,8.944272,5.5624213218688965,7.81025,0.2345307841344038,10.630146,0.4875942534622469,3,2,3,3,3
PHD_719,1.4142135,1.64721360206604,0.0,0.8478298753499984,3.0,0.7370837006365913,3,2,0,0,2
PHD_73,2.0,2.0809836626052856,2.0,0.5468710482120513,1.4142135,0.8970706748465441,3,2,1,2,1
PHD_741,9.848858,1.8128990173339845,9.848858,0.4839611858129501,12.529964,0.7524758991745593,3,2,0,2,2
PHD_841,8.062258,6.331500720977783,12.369317,0.1562451886478811,12.369317,0.6248501624371515,3,2,3,4,3
PHD_87,4.2426405,6.369107627868653,2.236068,0.147210169956088,4.472136,0.2739131512767652,3,2,3,4,4
PHD_897,20.09975,32.7231990814209,7.071068,0.3422883152961731,99.724625,1.0735062523415655,3,2,4,2,0
PHD_9,2.236068,2.3545398235321047,1.4142135,0.7644627928733826,1.4142135,1.0462301836256391,3,2,1,0,0
PHD_910,3.0,4.000182795524597,2.828427,0.2706083405762911,2.236068,0.5977840718329893,3,2,3,3,3
PHD_93,4.1231055,1.753565788269043,4.1231055,0.5735606655478478,3.1622777,0.9131143335857748,3,2,0,2,1
PHD_96,5.8309517,2.598143196105957,5.8309517,0.5399279713630676,5.0,0.5349405863163054,3,2,2,2,3
PHD_97,5.0,1.907463812828064,7.615773,0.3114588383585214,4.472136,0.6862267936420106,3,2,0,3,2
PHD_1032,8.062258,2.8039156913757326,8.062258,0.8372254848480225,13.416408,0.6123912549320382,3,2,2,0,3
PHD_1106,3.1622777,6.662349700927734,2.236068,0.1115876458585262,8.062258,0.4257737662828668,3,2,3,4,4
PHD_1379,5.0990195,3.00584397315979,3.6055512,0.4043254689313471,3.6055512,0.7802755317071672,3,2,2,2,2
PHD_1458,9.055386,3.5314998626708984,8.0,0.5038506045937539,13.0,0.601035526750205,3,2,2,2,3
PHD_1905,6.0,3.5988682985305784,8.062258,0.1675298546440899,9.219544,0.2611141996367226,3,2,2,4,4
PHD_2205,8.5440035,2.0925681591033936,11.401754,0.2584746728956816,11.18034,0.8788705998750803,3,2,1,3,1
PHD_2233,1.0,3.911582374572754,1.4142135,0.368238915503025,3.0,1.026417233537463,3,2,3,2,0
PHD_2310,5.8309517,2.297056245803833,6.708204,0.9000393688678742,7.615773,1.3316721804670697,3,2,1,0,0
PHD_2352,12.0,4.295414876937866,11.18034,0.4007418185472488,11.18034,1.541798374161978,3,2,3,2,0
PHD_2432,7.2111025,15.24441623687744,10.198039,0.0705707693239674,10.198039,0.0889856222036568,4,3,4,4,4
PHD_2460,3.1622777,0.7656854152679443,3.1622777,0.7599944740533828,3.1622777,0.6765104328085995,4,3,0,0,3
PHD_2462,7.0,2.600779390335083,5.0990195,0.6779650926589966,4.1231055,0.9867408330530184,4,3,1,1,2
PHD_2486,11.7046995,4.205997347831726,11.18034,0.4286739209666848,11.18034,1.007952292939909,4,3,3,2,2
PHD_2497,23.769728,31.738524627685543,6.3245554,0.2126758694648742,5.0,0.6072857423790229,4,3,4,4,4
PHD_2640,84.89994,5.897366619110107,88.07383,0.1144050998758757,88.07383,0.5539692290363898,4,3,3,4,4
PHD_3205,8.246211,4.254979276657105,9.055386,0.0777746273844968,6.4031243,0.2200444918344624,4,3,3,4,4
PHD_361,7.2111025,2.489434099197388,5.3851647,0.5978994905948639,5.3851647,1.2653578025527412,4,3,1,1,1
PHD_4039,20.615528,33.72070198059082,6.708204,0.1533759444952011,6.708204,0.3754033481230988,4,3,4,4,4
PHD_4136,10.0,2.8552175998687743,9.433981,0.7280566930770874,9.433981,1.67807827565112,4,3,1,0,0
